dir_tag,mode,tag,macro_f1,macro_f1_std,n_seeds,params,params_M,flops_G_per_seq,latency_ms_per_sample_b1
bert-large,teacher,,0.8972892994715852,,1,,335.148038,78.922133504,26.55855958984432
bert-mini,ablation_from_scratch,from_scratch,0.7905118668249642,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_implicit_pretrain,implicit_pretrain,0.8376820541840986,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_no_aux,no_aux,0.8363527719551866,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_no_dynamic,no_dynamic,0.8386057394676448,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_no_hidden,no_hidden,0.8369271067910099,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_per_batch,per_batch,0.8388706516324196,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_spec_only,spec_only,0.8392383901335952,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,dmthd,,0.8377923182806938,0.001148289625342857,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,dmthd_hetero,,0.8373122054388432,0.0010065497929063474,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,dmthd_knn_transfer,dmthd_knn_transfer,0.8483726911574313,0.0011206497377327308,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,dmthd_spec,,0.8373081271357736,0.002513369907687887,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ft,,0.8392538023905841,0.00031414835647049466,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,pseudo_transfer,pseudo_transfer,0.8412109932193846,0.0013384864192239863,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,skd,,0.8404527879794698,0.0017122085492359844,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,skd_hetero,,0.8404527879794698,0.0017122085492359844,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,skd_transfer,skd_transfer,0.846562002448869,0.0015887242511747974,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_T_1.0,sweep_T_1.0,0.8385627827310733,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_T_2.0,sweep_T_2.0,0.8401902336073682,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_T_8.0,sweep_T_8.0,0.8391247668370713,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_alpha_0.2,sweep_alpha_0.2,0.8385732966975704,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_alpha_0.6,sweep_alpha_0.6,0.8393892169159537,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_delta_0.1,sweep_delta_0.1,0.8388730581958156,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_delta_0.5,sweep_delta_0.5,0.8399321685285387,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_0.05,sweep_tau_0.05,0.8392349465569285,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_0.1,sweep_tau_0.1,0.8387558625634902,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_0.2,sweep_tau_0.2,0.8384654772404428,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_0.5,sweep_tau_0.5,0.8389706282455488,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_2.0,sweep_tau_2.0,0.8390271843329903,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_5.0,sweep_tau_5.0,0.8389366602187097,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform,,0.8385117992318075,0.001835914461745169,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform_hetero,,0.8378359982883451,0.002427257316756594,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform_hetero_transfer,uniform_hetero_transfer,0.8476975793209175,0.002559637401943132,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform_spec,,0.8389777415490003,0.003495486774664062,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform_transfer,uniform_transfer,0.8462412715757774,0.0016019276445732053,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-small,dmthd,,0.8470758382962966,0.003388147525657621,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,dmthd_hetero,,0.8476569862127574,0.0010519322322523803,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,ft,,0.8469060127077964,0.0040193691417052604,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,skd,,0.8487803873346517,0.004424769741379493,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,skd_hetero,,0.8487803873346517,0.004424769741379493,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,uniform,,0.85050480092075,0.002838261448657096,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,uniform_hetero,,0.8508771642615591,0.0020860364314981093,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bilstm,dmthd,,0.8732234141455594,0.0003257582311357644,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,dmthd_hetero,,0.8763959746777695,0.0024344424929983125,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,ft,,0.8692963704810325,0.004257090442036296,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,skd,,0.8747628056553519,0.0018144477576438683,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,skd_hetero,,0.8747628056553519,0.0018144477576438683,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,uniform,,0.8761309360012751,0.0025030902770600723,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
