dir_tag,mode,tag,macro_f1,macro_f1_std,n_seeds,params,params_M,flops_G_per_seq,latency_ms_per_sample_b1
bert-large,teacher,,0.8972892994715852,,1,,335.148038,78.922133504,26.55855958984432
bert-mini,ablation_from_scratch,from_scratch,0.7905118668249642,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_no_aux,no_aux,0.8363527719551866,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_no_dynamic,no_dynamic,0.8386057394676448,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_no_hidden,no_hidden,0.8369271067910099,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ablation_per_batch,per_batch,0.8388706516324196,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,dmthd,,0.8377923182806938,0.001148289625342857,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,dmthd_hetero,,0.8373122054388432,0.0010065497929063747,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,ft,,0.8392538023905841,0.00031414835647053006,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,skd,,0.8404527879794698,0.0017122085492360046,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,skd_hetero,,0.8404527879794698,0.0017122085492360046,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_T_1.0,sweep_T_1.0,0.8385627827310733,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_T_2.0,sweep_T_2.0,0.8401902336073682,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_T_8.0,sweep_T_8.0,0.8391247668370713,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_alpha_0.2,sweep_alpha_0.2,0.8385732966975704,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_alpha_0.6,sweep_alpha_0.6,0.8393892169159537,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_delta_0.1,sweep_delta_0.1,0.8388730581958156,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_delta_0.5,sweep_delta_0.5,0.8399321685285387,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_0.5,sweep_tau_0.5,0.8389706282455488,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_2.0,sweep_tau_2.0,0.8390271843329903,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,sweep_tau_5.0,sweep_tau_5.0,0.8389366602187097,,1,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform,,0.8385117992318075,0.0018359144617451251,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-mini,uniform_hetero,,0.8378359982883451,0.002427257316756594,3,11172102.0,11.172102,0.872549376,3.4709561914070264
bert-small,dmthd,,0.8470758382962966,0.003388147525657604,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,dmthd_hetero,,0.8476569862127574,0.0010519322322524048,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,ft,,0.8469060127077964,0.004019369141705272,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,skd,,0.8487803873346517,0.004424769741379493,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,skd_hetero,,0.8487803873346517,0.004424769741379493,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,uniform,,0.85050480092075,0.002838261448657096,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bert-small,uniform_hetero,,0.8508771642615591,0.002086036431498136,3,28766726.0,28.766726,3.355973632,3.7416379687442713
bilstm,dmthd,,0.8732234141455594,0.0003257582311357858,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,dmthd_hetero,,0.8763959746777695,0.0024344424929982574,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,ft,,0.8692963704810325,0.004257090442036255,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,skd,,0.8747628056553519,0.001814447757643827,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,skd_hetero,,0.8747628056553519,0.001814447757643827,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,uniform,,0.8761309360012751,0.002503090277060117,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
bilstm,uniform_hetero,,0.8759681962450202,0.0011734026919497087,3,10446342.0,10.446342,6.144e-06,2.5684842773472383
deberta-base,teacher,,0.8719818649374179,,1,,184.426758,39.259874304,23.21479351172684
deberta-xsmall,dmthd,,0.8832939883397314,0.001769604022303252,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,dmthd_hetero,,0.8827967180445385,0.001381729580136677,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,ft,,0.8824947769268262,0.0009987734338618897,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,skd,,0.8864909200204867,0.0023003241048929783,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,skd_hetero,,0.8864909200204867,0.0023003241048929783,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,uniform,,0.8861831537797332,0.0021473431215364874,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,uniform_hetero,,0.8846867134215861,0.007836987107421551,3,70832262.0,70.832262,10.5699456,23.49107269139949
distilbert,dmthd,,0.8959969219082419,0.002418976054364458,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,dmthd_hetero,,0.8965716543036223,0.004082713907242777,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,ft,,0.8907264001555362,0.0007331268159558789,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,skd,,0.8963023207783035,0.0002021056574394357,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,skd_hetero,,0.8963023207783035,0.0002021056574394357,3,66958086.0,66.958086,11.17481472,5.224060355473625
